water_system_no,water_system_name,type,status,county,source_type,link
SC7777,123 WATER,,A,,,
SC0874019,"1250 OLD GILLIARD, LLC (SC0874019",NC,A,BERKELEY,GW,
SC2174000,341 EXPRESS (SC2174000),NC,A,FLORENCE,GW,
SC4570950,4 WAY STOP (SC4570950),NC,A,WILLIAMSBURG,GW,
SC4060012,611 HARMON LLC (SC4060012),C,A,RICHLAND,GW,
SC3870921,76 GAS STATION (SC3870921),NC,A,ORANGEBURG,GW,
SC4074011,7730 BLUFF ROAD CONVENIENCE (SC4074011),NC,A,RICHLAND,GW,
SC0110001,ABBEVILLE CITY OF (SC0110001),C,A,ABBEVILLE,SW,
SC013000,ABC,,A,,,
SC075555,ABC,,A,,,
SC1070148,ADAMS RUN CIVIC CENTER (SC1070148),NTNC,A,CHARLESTON,GW,
SC4660115,ADNAH HILLS MHP (SC4660115),C,A,YORK,GW,
SC0670924,ADVENTURE FARMS (SC0670924),NC,A,BARNWELL,GW,
SC0210001,AIKEN CITY OF (SC0210001),C,A,AIKEN,SW,
SC0250009,AIKEN-VALE SVC C CITY OF (SC0250009),C,A,AIKEN,GW,
SC4672003,AK'S MART (SC4672003),NC,A,YORK,GW,
SC0320002,ALLENDALE INDUSTRIAL PARK (SC0320002),C,A,ALLENDALE,GW,
SC0310001,ALLENDALE TOWN OF (SC0310001),C,A,ALLENDALE,GW,
SC1320004,ALLIGATOR RURAL WATER (SC1320004),C,A,CHESTERFIELD,GW,
SC4070940,AM PM QUICK STOP (SC4070940),NC,A,RICHLAND,GW,
SC0770050,AMI KIDS-BEAUFORT (0770050),NC,A,BEAUFORT,GW,
SC2270906,AMI KIDS-GEORGETOWN (2270906),NTNC,A,GEORGETOWN,GW,
SC3250077,AMICKS FERRY WTR SYSTEM (SC3250077),C,A,LEXINGTON,SWP,
SC3830002,AMRIZE (SC3830002),NTNC,A,ORANGEBURG,GW,
SC0420011,ANDERSON REGIONAL JOINT WS (SC0420011),C,A,ANDERSON,SW,
SC0570100,ANDREW JACKSON ACADEMY (0570100),NTNC,A,BAMBERG,GW,
SC2210003,ANDREWS TOWN OF (SC2210003),C,A,GEORGETOWN,GW,
SC0870809,ANGELS CAMPGROUND I (SC0870809),NC,A,BERKELEY,GW,
SC0870810,ANGELS CAMPGROUND II (0870810),NC,A,BERKELEY,GW,
SC0870215,ANGELS LANDING RESTAURANT (SC0870215),NC,A,BERKELEY,GW,
SC0870805,ANGELS TRAILER PARK (SC0870805),NC,A,BERKELEY,GW,
SC0330001,ARCHROMA US INC (0330001),NTNC,A,ALLENDALE,GW,
